service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
s_merged_998633,20120102,20120422,0,0,0,0,0,0,1
muw_merged_998632,20120102,20120422,1,1,1,0,0,0,0
s_merged_998638,20120423,20120624,0,0,0,0,0,0,1
muw_merged_998637,20120423,20120624,1,1,1,0,0,0,0
muwtf_merged_998639,20120423,20120624,1,1,1,1,1,0,0
muwtf_merged_998634,20120102,20120422,1,1,1,1,1,0,0
tf_merged_998636,20120423,20120624,0,0,0,1,1,0,0
tf_merged_998631,20120102,20120422,0,0,0,1,1,0,0
a_merged_998635,20120423,20120624,0,0,0,0,0,1,0
a_merged_998630,20120102,20120422,0,0,0,0,0,1,0
