trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
547831,10:15:00,10:15:00,1770,1,,,,
547831,10:18:00,10:18:00,2888,2,,,,
547831,10:19:00,10:19:00,3189,3,,,,
547831,10:20:00,10:20:00,3895,4,,,,
547831,10:22:00,10:22:00,3893,5,,,,
547831,10:23:00,10:23:00,2969,6,,,,
547831,10:26:00,10:26:00,2971,7,,,,
547831,10:28:00,10:28:00,3891,8,,,,
547831,10:29:00,10:29:00,3143,9,,,,
547831,10:31:00,10:31:00,3144,10,,,,
547831,10:33:00,10:33:00,3146,11,,,,
547831,10:34:00,10:34:00,1992,12,,,,
547831,10:35:00,10:35:00,1972,13,,,,
547831,10:36:00,10:36:00,3465,14,,,,
547831,10:38:00,10:38:00,3890,15,,,,
547831,10:39:00,10:39:00,1117,16,,,,
547831,10:42:00,10:42:00,3899,17,,,,
547831,10:44:00,10:44:00,2521,18,,,,
547831,10:45:00,10:45:00,3947_merged_998623,19,,,,
547831,10:46:00,10:46:00,3943,20,,,,
547831,10:48:00,10:48:00,1167,21,,,,
547830,09:45:00,09:45:00,1770,1,,,,
547830,09:48:00,09:48:00,2888,2,,,,
547830,09:49:00,09:49:00,3189,3,,,,
547830,09:50:00,09:50:00,3895,4,,,,
547830,09:52:00,09:52:00,3893,5,,,,
547830,09:53:00,09:53:00,2969,6,,,,
547830,09:56:00,09:56:00,2971,7,,,,
547830,09:58:00,09:58:00,3891,8,,,,
547830,09:59:00,09:59:00,3143,9,,,,
547830,10:01:00,10:01:00,3144,10,,,,
547830,10:03:00,10:03:00,3146,11,,,,
547830,10:04:00,10:04:00,1992,12,,,,
547830,10:05:00,10:05:00,1972,13,,,,
547830,10:06:00,10:06:00,3465,14,,,,
547830,10:08:00,10:08:00,3890,15,,,,
547830,10:09:00,10:09:00,1117,16,,,,
547830,10:12:00,10:12:00,3899,17,,,,
547830,10:14:00,10:14:00,2521,18,,,,
547830,10:15:00,10:15:00,3947_merged_998623,19,,,,
547830,10:16:00,10:16:00,3943,20,,,,
547830,10:18:00,10:18:00,1167,21,,,,
547833,11:15:00,11:15:00,1770,1,,,,
547833,11:18:00,11:18:00,2888,2,,,,
547833,11:19:00,11:19:00,3189,3,,,,
547833,11:20:00,11:20:00,3895,4,,,,
547833,11:22:00,11:22:00,3893,5,,,,
547833,11:23:00,11:23:00,2969,6,,,,
547833,11:26:00,11:26:00,2971,7,,,,
547833,11:28:00,11:28:00,3891,8,,,,
547833,11:29:00,11:29:00,3143,9,,,,
547833,11:31:00,11:31:00,3144,10,,,,
547833,11:33:00,11:33:00,3146,11,,,,
547833,11:34:00,11:34:00,1992,12,,,,
547833,11:35:00,11:35:00,1972,13,,,,
547833,11:36:00,11:36:00,3465,14,,,,
547833,11:38:00,11:38:00,3890,15,,,,
547833,11:39:00,11:39:00,1117,16,,,,
547833,11:42:00,11:42:00,3899,17,,,,
547833,11:44:00,11:44:00,2521,18,,,,
547833,11:45:00,11:45:00,3947_merged_998623,19,,,,
547833,11:46:00,11:46:00,3943,20,,,,
547833,11:48:00,11:48:00,1167,21,,,,
547832,10:45:00,10:45:00,1770,1,,,,
547832,10:48:00,10:48:00,2888,2,,,,
547832,10:49:00,10:49:00,3189,3,,,,
547832,10:50:00,10:50:00,3895,4,,,,
547832,10:52:00,10:52:00,3893,5,,,,
547832,10:53:00,10:53:00,2969,6,,,,
547832,10:56:00,10:56:00,2971,7,,,,
547832,10:58:00,10:58:00,3891,8,,,,
547832,10:59:00,10:59:00,3143,9,,,,
547832,11:01:00,11:01:00,3144,10,,,,
547832,11:03:00,11:03:00,3146,11,,,,
547832,11:04:00,11:04:00,1992,12,,,,
547832,11:05:00,11:05:00,1972,13,,,,
547832,11:06:00,11:06:00,3465,14,,,,
547832,11:08:00,11:08:00,3890,15,,,,
547832,11:09:00,11:09:00,1117,16,,,,
547832,11:12:00,11:12:00,3899,17,,,,
547832,11:14:00,11:14:00,2521,18,,,,
547832,11:15:00,11:15:00,3947_merged_998623,19,,,,
547832,11:16:00,11:16:00,3943,20,,,,
547832,11:18:00,11:18:00,1167,21,,,,
547835,12:15:00,12:15:00,1770,1,,,,
547835,12:18:00,12:18:00,2888,2,,,,
547835,12:19:00,12:19:00,3189,3,,,,
547835,12:20:00,12:20:00,3895,4,,,,
547835,12:22:00,12:22:00,3893,5,,,,
547835,12:23:00,12:23:00,2969,6,,,,
547835,12:26:00,12:26:00,2971,7,,,,
547835,12:28:00,12:28:00,3891,8,,,,
547835,12:29:00,12:29:00,3143,9,,,,
547835,12:31:00,12:31:00,3144,10,,,,
547835,12:33:00,12:33:00,3146,11,,,,
547835,12:34:00,12:34:00,1992,12,,,,
547835,12:35:00,12:35:00,1972,13,,,,
547835,12:36:00,12:36:00,3465,14,,,,
547835,12:38:00,12:38:00,3890,15,,,,
547835,12:39:00,12:39:00,1117,16,,,,
547835,12:42:00,12:42:00,3899,17,,,,
547835,12:44:00,12:44:00,2521,18,,,,
547835,12:45:00,12:45:00,3947_merged_998623,19,,,,
547835,12:46:00,12:46:00,3943,20,,,,
547835,12:48:00,12:48:00,1167,21,,,,
547834,11:45:00,11:45:00,1770,1,,,,
547834,11:48:00,11:48:00,2888,2,,,,
547834,11:49:00,11:49:00,3189,3,,,,
547834,11:50:00,11:50:00,3895,4,,,,
547834,11:52:00,11:52:00,3893,5,,,,
547834,11:53:00,11:53:00,2969,6,,,,
547834,11:56:00,11:56:00,2971,7,,,,
547834,11:58:00,11:58:00,3891,8,,,,
547834,11:59:00,11:59:00,3143,9,,,,
547834,12:01:00,12:01:00,3144,10,,,,
547834,12:03:00,12:03:00,3146,11,,,,
547834,12:04:00,12:04:00,1992,12,,,,
547834,12:05:00,12:05:00,1972,13,,,,
547834,12:06:00,12:06:00,3465,14,,,,
547834,12:08:00,12:08:00,3890,15,,,,
547834,12:09:00,12:09:00,1117,16,,,,
547834,12:12:00,12:12:00,3899,17,,,,
547834,12:14:00,12:14:00,2521,18,,,,
547834,12:15:00,12:15:00,3947_merged_998623,19,,,,
547834,12:16:00,12:16:00,3943,20,,,,
547834,12:18:00,12:18:00,1167,21,,,,
547837,13:15:00,13:15:00,1770,1,,,,
547837,13:18:00,13:18:00,2888,2,,,,
547837,13:19:00,13:19:00,3189,3,,,,
547837,13:20:00,13:20:00,3895,4,,,,
547837,13:22:00,13:22:00,3893,5,,,,
547837,13:23:00,13:23:00,2969,6,,,,
547837,13:26:00,13:26:00,2971,7,,,,
547837,13:28:00,13:28:00,3891,8,,,,
547837,13:29:00,13:29:00,3143,9,,,,
547837,13:31:00,13:31:00,3144,10,,,,
547837,13:33:00,13:33:00,3146,11,,,,
547837,13:34:00,13:34:00,1992,12,,,,
547837,13:35:00,13:35:00,1972,13,,,,
547837,13:36:00,13:36:00,3465,14,,,,
547837,13:38:00,13:38:00,3890,15,,,,
547837,13:39:00,13:39:00,1117,16,,,,
547837,13:42:00,13:42:00,3899,17,,,,
547837,13:44:00,13:44:00,2521,18,,,,
547837,13:45:00,13:45:00,3947_merged_998623,19,,,,
547837,13:46:00,13:46:00,3943,20,,,,
547837,13:48:00,13:48:00,1167,21,,,,
547836,12:45:00,12:45:00,1770,1,,,,
547836,12:48:00,12:48:00,2888,2,,,,
547836,12:49:00,12:49:00,3189,3,,,,
547836,12:50:00,12:50:00,3895,4,,,,
547836,12:52:00,12:52:00,3893,5,,,,
547836,12:53:00,12:53:00,2969,6,,,,
547836,12:56:00,12:56:00,2971,7,,,,
547836,12:58:00,12:58:00,3891,8,,,,
547836,12:59:00,12:59:00,3143,9,,,,
547836,13:01:00,13:01:00,3144,10,,,,
547836,13:03:00,13:03:00,3146,11,,,,
547836,13:04:00,13:04:00,1992,12,,,,
547836,13:05:00,13:05:00,1972,13,,,,
547836,13:06:00,13:06:00,3465,14,,,,
547836,13:08:00,13:08:00,3890,15,,,,
547836,13:09:00,13:09:00,1117,16,,,,
547836,13:12:00,13:12:00,3899,17,,,,
547836,13:14:00,13:14:00,2521,18,,,,
547836,13:15:00,13:15:00,3947_merged_998623,19,,,,
547836,13:16:00,13:16:00,3943,20,,,,
547836,13:18:00,13:18:00,1167,21,,,,
547839,14:15:00,14:15:00,1770,1,,,,
547839,14:18:00,14:18:00,2888,2,,,,
547839,14:19:00,14:19:00,3189,3,,,,
547839,14:20:00,14:20:00,3895,4,,,,
547839,14:22:00,14:22:00,3893,5,,,,
547839,14:23:00,14:23:00,2969,6,,,,
547839,14:26:00,14:26:00,2971,7,,,,
