stop_lat,zone_id,stop_lon,stop_id,stop_desc,stop_name,location_type
43.498785,,-80.498918,2031,easyGO 2031,Meadowvale / Dansbury,0
43.433097,,-80.436623,1869,easyGO 1869,Kinzie / Walker,0
43.434163,,-80.43499,1868,easyGO 1868,Kinzie / Obermeyer,0
43.41642497,,-80.38766914,2318,easyGO 2318,Maple Grove / Cherry Blossom,0
43.45187,,-80.487045,2319,easyGO 2319,Weber / Queen,0
43.42906,,-80.379022,2316,easyGO 2316,Loblaws,0
43.423803,,-80.38154,2317,easyGO 2317,Maple Grove / Fountain,0
43.41628,,-80.37569,2314,easyGO 2314,Fountain / Toyota Gate 1,0
43.418968,,-80.376648,2315,easyGO 2315,Fountain / Toyota Gate 2,0
43.4126,,-80.3751,2312,easyGO 2312,Cherry Blossom / Fountain,0
43.415303,,-80.383427,2310,easyGO 2310,Cherry Blossom / Barnes,0
43.4827,,-80.5239,3773,easyGO 3773,Columbia / Weber,0
43.483,,-80.5236,3772,easyGO 3772,Columbia / Weber,0
43.4841,,-80.5205,3771,easyGO 3771,Columbia / Marsland,0
43.4875,,-80.5185,3770,easyGO 3770,Lexington / Dearborn,0
43.4969,,-80.5459,3777,easyGO 3777,Parkside / Northfield,0
43.4949,,-80.5445,3776,easyGO 3776,551 Parkside Dr,0
43.4934,,-80.5444,3775,easyGO 3775,Parkside / Weber,0
43.4945,,-80.5484,3774,easyGO 3774,Weber / Glen Forrest,0
43.460452,,-80.507893,3234,easyGO 3234,Moore / Graham,0
43.35859,,-80.317492,2268,easyGO 2268,Grand / South Square,0
43.354137,,-80.302748,2269,easyGO 2269,Christopher / Elliott,0
43.342903,,-80.327752,2262,easyGO 2262,Fourth / Vincent,0
43.34317,,-80.331443,2263,easyGO 2263,Fourth / St Andrews,0
43.340993,,-80.32386,2260,easyGO 2260,Culham / Tait,0
43.343533,,-80.324195,2261,easyGO 2261,Tait / Fourth,0
43.350137,,-80.336173,2266,easyGO 2266,Southwood / Cedar,0
43.351588,,-80.328497,2267,easyGO 2267,Westgate Centre,0
43.344695,,-80.331595,2264,easyGO 2264,Southwood / St Andrews,0
43.346087,,-80.334843,2265,easyGO 2265,Southwood / Westwood,0
43.469296,,-80.484374,2442,easyGO 2442,Lancaster / Ash,0
43.468057,,-80.484342,2443,easyGO 2443,Lancaster / Arnold,0
43.47506,,-80.48445,2440,easyGO 2440,Lancaster / Hamel,0
43.471371,,-80.484452,2441,easyGO 2441,Lancaster / Union,0
43.462147,,-80.483798,2446,easyGO 2446,Lancaster / Louisa,0
43.460708,,-80.484153,2447,easyGO 2447,Wellington / Major,0
43.465378,,-80.4843,2444,easyGO 2444,Lancaster / Guelph,0
43.46412,,-80.484247,2445,easyGO 2445,Lancaster / Hill,0
43.45983,,-80.486818,2448,easyGO 2448,Wellington / St Leger,0
43.458697,,-80.490313,2449,easyGO 2449,Wellington / Margaret,0
43.499703,,-80.537457,2046,easyGO 2046,Conestogo / Colby,0
43.498483,,-80.536587,2047,easyGO 2047,Conestogo / Durward,0
43.51014,,-80.519108,2044,easyGO 2044,Bridge / Labrador,0
43.454347,,-80.52766,2685,easyGO 2685,Westmount / John,0
43.452182,,-80.524937,2686,easyGO 2686,Union / Westmount,0
43.453229,,-80.522523,2687,easyGO 2687,Union / Dunbar,0
43.459042,,-80.536837,2680,easyGO 2680,Westmount / Erb,0
43.457612,,-80.53533,2681,easyGO 2681,Westmount / Lourdes,0
43.456923,,-80.53224,2682,easyGO 2682,Westmount / Dietz,0
43.45566529,,-80.52906819,2683,easyGO 2683,Westmount / William,0
43.400075,,-80.362027,1436,easyGO 1436,Eagle / William,0
43.398303,,-80.363702,1437,easyGO 1437,Eagle / King,0
43.468475,,-80.438675,1677_merged_998610,easyGO 1677,Lackner / Georgian Place,
43.466694,,-80.586075,3392,easyGO 3392,Erbsville / White Elm,0
43.398437,,-80.342633,1432,easyGO 1432,Langs / Fairview Mennonite,0
43.398698,,-80.345453,1433,easyGO 1433,Concession / Winterhalt,0
43.446045,,-80.553957,1991,easyGO 1991,Thorndale / Appledale,0
43.389973,,-80.346597,1622,easyGO 1622,King / Bishop,0
43.388777,,-80.344222,1621,easyGO 1621,King / Brower,0
43.387912,,-80.342513,1620,easyGO 1620,King / Concession,0
43.399072,,-80.364283,1627,easyGO 1627,King / Chopin,0
43.430645,,-80.533965,3202,easyGO 3202,Bankside / Golden Terrace,0
43.394625,,-80.355777,1625,easyGO 1625,King / Lowther,0
43.393177,,-80.352915,1624,easyGO 1624,King / Dolph,0
43.45949,,-80.536275,1999,easyGO 1999,Erb / Westmount,0
43.456555,,-80.541867,1998,easyGO 1998,Erb / Mcdougall,0
43.396142,,-80.372962,1629,easyGO 1629,Fountain / Bauman,0
43.399956,,-80.368,1628,easyGO 1628,King / Fountain,0
43.434542,,-80.534373,3209,easyGO 3209,Victoria / Path To Wexford,0
43.43357,,-80.538688,3208,easyGO 3208,Victoria / Eastforest,0
43.435892,,-80.447073,2860,easyGO 2860,Franklin / Prospect,0
43.494357,,-80.553547,1197,easyGO 1197,Northfield / Northgate,0
43.493527,,-80.555927,1196,easyGO 1196,Northfield / Skylark,0
43.40878,,-80.443455,1759,easyGO 1759,Wabanaki / Kevco,0
43.406957,,-80.448535,1758,easyGO 1758,Manitou / Wabanaki,0
43.405483,,-80.448345,1757,easyGO 1757,334 Manitou Dr.,0
43.40185,,-80.447687,1756,easyGO 1756,Manitou / Cayuga,0
43.398292,,-80.446698,1755,easyGO 1755,Doon Village / Farrier,0
43.393583,,-80.443617,1754,easyGO 1754,Doon Village / Wheatfield Park,0
43.391897,,-80.440588,1753,easyGO 1753,Doon Village / Bechtel,0
43.389998,,-80.444377,1752,easyGO 1752,Bechtel / Anvil,0
43.389137,,-80.448528,1751,easyGO 1751,Bechtel / Sabrina,0
43.391645,,-80.450683,1750,easyGO 1750,Pioneer / Black Walnut,0
43.490542,,-80.539163,1177,easyGO 1177,Albert / Longwood,0
43.48815,,-80.541385,1176,easyGO 1176,Albert / Greenbrier,0
43.485738,,-80.539433,1175,easyGO 1175,Hazel / Albert,0
43.485675,,-80.537293,1174,easyGO 1174,Hazel / Blythwood,0
43.483773,,-80.535095,1173,easyGO 1173,Hazel / Smallwood,0
43.481543,,-80.532912,1172,easyGO 1172,Hazel / Austin,0
43.479566,,-80.531347,1171,easyGO 1171,Waterloo Ci,0
43.45653,,-80.502163,3231,easyGO 3231,Moore / Shanley,0
