trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
547831,10:15:00,10:15:00,1770,1,,,,
547831,10:18:00,10:18:00,2888,2,,,,
547831,10:19:00,10:19:00,3189,3,,,,
551586,23:15:00,23:15:00,1130,1,,,,
551586,23:17:00,23:17:00,2504,2,,,,
551586,23:18:00,23:18:00,2505,3,,,,
551586,23:19:00,23:19:00,2506,4,,,,
551586,23:20:00,23:20:00,2507,5,,,,
551586,23:21:00,23:21:00,2508,6,,,,
551586,23:21:00,23:21:00,2509,7,,,,
551586,23:22:00,23:22:00,2532,8,,,,
551586,23:23:00,23:23:00,1165,9,,,,
551586,23:23:00,23:23:00,2533,10,,,,
